fecha_consulta,moneda,casa,nombre,compra,venta,fecha_actualizacion
2025-10-03T19:21:20.427349,USD,oficial,Oficial,1400,1450,2025-10-03T17:01:00.000Z
2025-10-03T19:21:20.427349,USD,blue,Blue,1420,1440,2025-10-03T21:00:00.000Z
2025-10-03T19:21:20.427349,USD,bolsa,Bolsa,1497.4,1510.6,2025-10-03T21:00:00.000Z
2025-10-03T19:21:20.427349,USD,contadoconliqui,Contado con liquidación,1520.2,1522.9,2025-10-03T21:00:00.000Z
2025-10-03T19:21:20.427349,USD,mayorista,Mayorista,1415.5,1424.5,2025-10-03T15:52:00.000Z
2025-10-03T19:21:20.427349,USD,cripto,Cripto,1514,1520,2025-10-03T21:00:00.000Z
2025-10-03T19:21:20.427349,USD,tarjeta,Tarjeta,1820,1885,2025-10-03T17:01:00.000Z
2025-10-03T19:22:11.400661,USD,oficial,Oficial,1400,1450,2025-10-03T17:01:00.000Z
2025-10-03T19:22:11.400661,USD,blue,Blue,1420,1440,2025-10-03T21:00:00.000Z
2025-10-03T19:22:11.400661,USD,bolsa,Bolsa,1497.4,1510.6,2025-10-03T21:00:00.000Z
2025-10-03T19:22:11.400661,USD,contadoconliqui,Contado con liquidación,1520.2,1522.9,2025-10-03T21:00:00.000Z
2025-10-03T19:22:11.400661,USD,mayorista,Mayorista,1415.5,1424.5,2025-10-03T15:52:00.000Z
2025-10-03T19:22:11.400661,USD,cripto,Cripto,1514,1520,2025-10-03T21:00:00.000Z
2025-10-03T19:22:11.400661,USD,tarjeta,Tarjeta,1820,1885,2025-10-03T17:01:00.000Z
2025-10-03T19:25:14.994932,USD,oficial,Oficial,1400,1450,2025-10-03T17:01:00.000Z
2025-10-03T19:25:14.994932,USD,blue,Blue,1420,1440,2025-10-03T21:00:00.000Z
2025-10-03T19:25:14.994932,USD,bolsa,Bolsa,1497.4,1510.6,2025-10-03T21:00:00.000Z
2025-10-03T19:25:14.994932,USD,contadoconliqui,Contado con liquidación,1520.2,1522.9,2025-10-03T21:00:00.000Z
2025-10-03T19:25:14.994932,USD,mayorista,Mayorista,1415.5,1424.5,2025-10-03T15:52:00.000Z
2025-10-03T19:25:14.994932,USD,cripto,Cripto,1514,1520,2025-10-03T21:00:00.000Z
2025-10-03T19:25:14.994932,USD,tarjeta,Tarjeta,1820,1885,2025-10-03T17:01:00.000Z
2025-10-03T19:32:56.672870,USD,oficial,Oficial,1400,1450,2025-10-03T17:01:00.000Z
2025-10-03T19:32:56.672870,USD,blue,Blue,1420,1440,2025-10-03T21:00:00.000Z
2025-10-03T19:32:56.672870,USD,bolsa,Bolsa,1497.4,1510.6,2025-10-03T21:00:00.000Z
2025-10-03T19:32:56.672870,USD,contadoconliqui,Contado con liquidación,1520.2,1522.9,2025-10-03T21:00:00.000Z
2025-10-03T19:32:56.672870,USD,mayorista,Mayorista,1415.5,1424.5,2025-10-03T15:52:00.000Z
2025-10-03T19:32:56.672870,USD,cripto,Cripto,1514,1520,2025-10-03T21:00:00.000Z
2025-10-03T19:32:56.672870,USD,tarjeta,Tarjeta,1820,1885,2025-10-03T17:01:00.000Z
2025-10-03T19:39:27.930340,USD,oficial,Oficial,1400,1450,2025-10-03T17:01:00.000Z
2025-10-03T19:39:27.930340,USD,blue,Blue,1420,1440,2025-10-03T21:00:00.000Z
2025-10-03T19:39:27.930340,USD,bolsa,Bolsa,1497.4,1510.6,2025-10-03T21:00:00.000Z
2025-10-03T19:39:27.930340,USD,contadoconliqui,Contado con liquidación,1520.2,1522.9,2025-10-03T21:00:00.000Z
2025-10-03T19:39:27.930340,USD,mayorista,Mayorista,1415.5,1424.5,2025-10-03T15:52:00.000Z
2025-10-03T19:39:27.930340,USD,cripto,Cripto,1514,1520,2025-10-03T21:00:00.000Z
2025-10-03T19:39:27.930340,USD,tarjeta,Tarjeta,1820,1885,2025-10-03T17:01:00.000Z
