fecha_consulta,moneda,casa,nombre,compra,venta,fecha_actualizacion
2025-10-03T19:50:47.712268,USD,oficial,Oficial,1400,1450,2025-10-03T17:01:00.000Z
2025-10-03T19:50:47.712268,USD,blue,Blue,1420,1440,2025-10-03T21:00:00.000Z
2025-10-03T19:50:47.712268,USD,bolsa,Bolsa,1497.4,1510.6,2025-10-03T21:00:00.000Z
2025-10-03T19:50:47.712268,USD,contadoconliqui,Contado con liquidación,1520.2,1522.9,2025-10-03T21:00:00.000Z
2025-10-03T19:50:47.712268,USD,mayorista,Mayorista,1415.5,1424.5,2025-10-03T15:52:00.000Z
2025-10-03T19:50:47.712268,USD,cripto,Cripto,1514,1520,2025-10-03T21:00:00.000Z
2025-10-03T19:50:47.712268,USD,tarjeta,Tarjeta,1820,1885,2025-10-03T17:01:00.000Z
2025-10-03T19:55:17.805128,USD,oficial,Oficial,1400,1450,2025-10-03T17:01:00.000Z
2025-10-03T19:55:17.805128,USD,blue,Blue,1420,1440,2025-10-03T21:00:00.000Z
2025-10-03T19:55:17.805128,USD,bolsa,Bolsa,1497.4,1510.6,2025-10-03T21:00:00.000Z
2025-10-03T19:55:17.805128,USD,contadoconliqui,Contado con liquidación,1520.2,1522.9,2025-10-03T21:00:00.000Z
2025-10-03T19:55:17.805128,USD,mayorista,Mayorista,1415.5,1424.5,2025-10-03T15:52:00.000Z
2025-10-03T19:55:17.805128,USD,cripto,Cripto,1514,1520,2025-10-03T21:00:00.000Z
2025-10-03T19:55:17.805128,USD,tarjeta,Tarjeta,1820,1885,2025-10-03T17:01:00.000Z
